make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 340ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=POST p=/api/v1/workspaces/NTDFLFPM000/nodes/0/page/create s=200 d=17ms s=21
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/nodes/0/children s=200 d=161µs s=243
INF http m=POST p=/api/v1/workspaces/NTDFLKJM000/nodes/0/page/create s=200 d=22.5ms s=21
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/nodes/0/children s=200 d=142µs s=243
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/nodes/NTDFNG4K000 s=200 d=135µs s=231
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/nodes/NTDFNG2G000 s=200 d=148µs s=231
INF http m=POST p=/api/v1/workspaces/NTDFLKJM000/nodes/0/page/create s=200 d=15.6ms s=21
INF http m=POST p=/api/v1/workspaces/NTDFLFPM000/nodes/0/page/create s=200 d=15.5ms s=21
INF http m=GET p=/w/@NTDFLKJM000+workspace/@NTDFNG2G000+welcome s=200 d=28µs s=1227
INF http m=GET p=/w/@NTDFLFPM000+workspace/@NTDFNG4K000+welcome s=200 d=16µs s=1227
INF http m=GET p=/api/v1/auth/me s=200 d=138µs s=848
INF http m=GET p=/api/v1/auth/me s=200 d=78µs s=825
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=87µs s=12
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/nodes/NTDFNG2G000 s=200 d=134µs s=231
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/nodes/0/children s=200 d=466µs s=436
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=45µs s=12
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/nodes/0/children s=200 d=353µs s=436
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/events s=500 d=46µs s=24
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/nodes/NTDFNG4K000 s=200 d=144µs s=231
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/events s=500 d=39µs s=24
INF http m=GET p=/api/v1/workspaces/NTDFLKJM000/nodes/NTDFNVMU000 s=200 d=241µs s=193
INF http m=GET p=/api/v1/workspaces/NTDFLFPM000/nodes/NTDFO0FI000 s=200 d=135µs s=193
INF http m=POST p=/api/v1/auth/register s=200 d=82.4ms s=468
INF http m=GET p=/ s=200 d=44µs s=1227
INF http m=GET p=/assets/index-BR9al7ul.js s=200 d=229µs s=109309
INF http m=GET p=/assets/index-CNZkaJPX.css s=200 d=164µs s=45319
INF http m=GET p=/assets/vendor-CigQKR3C.js s=200 d=165µs s=88738
INF http m=GET p=/assets/editor-vendor-Bgw51sU7.js s=200 d=209µs s=314625
