make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 362ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=832µs s=314634
INF http m=GET p=/api/v1/auth/me s=200 d=125µs s=205
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=93µs s=14704
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=50µs s=2514
INF http m=GET p=/sw.js s=200 d=483µs s=18490
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=342µs s=12
INF http m=GET p=/favicon.png s=200 d=52µs s=444
INF http m=GET p=/registerSW.js s=200 d=38µs s=134
INF http m=POST p=/api/v1/organizations s=200 d=24.6ms s=651
INF http m=GET p=/api/v1/auth/me s=200 d=166µs s=446
INF http m=GET p=/index.html s=301 d=16µs
INF http m=GET p=/ s=200 d=18µs s=1227
INF http m=GET p=/icon.svg s=200 d=33µs s=294
INF http m=GET p=/icon-512.png s=200 d=118µs s=11284
INF http m=GET p=/icon-192.png s=200 d=27µs s=2745
INF http m=GET p=/favicon.png s=200 d=89µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=26µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=114µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=98µs s=16680
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=92µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=63µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=209µs s=16953
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=38µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=99µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=31µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=51µs s=6652
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=186µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=49µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=27µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=117µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=23µs s=1913
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=36µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=61µs s=3892
INF http m=POST p=/api/v1/organizations/KGI6A6KG000/workspaces s=200 d=152ms s=359
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=20µs s=1920
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=65µs s=12701
