make[1]: Entering directory '/home/runner/work/mddb/mddb'
[36mvite v7.3.1 [32mbuilding client environment for production...[36m[39m
transforming...
[32m✓[39m 53 modules transformed.
rendering chunks...
computing gzip size...
[2m../backend/frontend/dist/[22m[36msw.mjs  [39m[1m[2m15.97 kB[22m[1m[22m[2m │ gzip: 5.36 kB[22m[2m │ map: 139.17 kB[22m
[32m✓ built in 420ms[39m
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF http m=GET p=/api/v1/workspaces/KGQPDCGG000/nodes/KGQPFLHE000 s=200 d=213µs s=193
INF http m=GET p=/api/v1/workspaces/KGQPDCLK000/nodes/KGQPFL70000 s=200 d=303µs s=193
INF http m=POST p=/api/v1/auth/register s=200 d=79.1ms s=464
INF http m=GET p=/ s=200 d=38µs s=1227
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=234µs s=107548
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=120µs s=44698
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=132µs s=87451
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=218µs s=314634
INF http m=GET p=/registerSW.js s=200 d=72µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=116µs s=201
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=111µs s=14704
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=84µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=86µs s=12
INF http m=GET p=/favicon.png s=200 d=29µs s=444
INF http m=GET p=/sw.js s=200 d=167µs s=18490
INF http m=POST p=/api/v1/organizations s=200 d=16.7ms s=650
INF http m=GET p=/registerSW.js s=200 d=37µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=117µs s=441
INF http m=GET p=/index.html s=301 d=18µs
INF http m=GET p=/ s=200 d=16µs s=1227
INF http m=GET p=/icon.svg s=200 d=29µs s=294
INF http m=GET p=/icon-512.png s=200 d=63µs s=11284
INF http m=GET p=/icon-192.png s=200 d=32µs s=2745
INF http m=GET p=/favicon.png s=200 d=22µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=33µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=632µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=81µs s=16680
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=98µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=95µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=73µs s=16953
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=30µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=148µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=139µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=80µs s=6652
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=113µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=35µs s=1034
INF http m=POST p=/api/v1/organizations/KGQPJQO6000/workspaces s=200 d=149ms s=359
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=31µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=172µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=29µs s=1913
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=18.5ms s=1015
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=37µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=66µs s=3892
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=21µs s=1920
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=73µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPJVUQ000/nodes/0/children s=200 d=123µs s=13
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=57µs s=12701
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=92µs s=46497
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=81µs s=4144
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=38µs s=2890
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=33µs s=2245
INF http m=POST p=/api/v1/workspaces/KGQPJVUQ000/nodes/0/page/create s=200 d=23.6ms s=21
INF http m=GET p=/api/v1/workspaces/KGQPJVUQ000/nodes/0/children s=200 d=172µs s=243
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=49µs s=7257
INF http m=GET p=/manifest.webmanifest s=200 d=22µs s=455
INF http m=GET p=/api/v1/workspaces/KGQPJVUQ000/nodes/KGQPL41U000 s=200 d=149µs s=231
INF http m=POST p=/api/v1/auth/register s=200 d=90.6ms s=468
INF http m=GET p=/ s=200 d=45µs s=1227
INF http m=GET p=/assets/index-D5tXwI8s.js s=200 d=226µs s=107548
INF http m=GET p=/assets/index-Hymz4ZC4.css s=200 d=177µs s=44698
INF http m=GET p=/assets/vendor-BFNoaq9W.js s=200 d=136µs s=87451
INF http m=GET p=/assets/editor-vendor-BEwVq1OK.js s=200 d=221µs s=314634
INF http m=GET p=/registerSW.js s=200 d=24µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=115µs s=205
INF http m=GET p=/assets/en-C3TpOtlB.js s=200 d=119µs s=14704
INF http m=GET p=/favicon.png s=200 d=29µs s=444
INF http m=GET p=/assets/Onboarding-WKcPsTBu.js s=200 d=38µs s=2514
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=138µs s=12
INF http m=GET p=/sw.js s=200 d=76µs s=18490
INF http m=POST p=/api/v1/organizations s=200 d=18.4ms s=651
INF http m=GET p=/registerSW.js s=200 d=168µs s=134
INF http m=GET p=/api/v1/auth/me s=200 d=113µs s=446
INF http m=GET p=/index.html s=301 d=14µs
INF http m=GET p=/ s=200 d=14µs s=1227
INF http m=GET p=/icon.svg s=200 d=24µs s=294
INF http m=GET p=/icon-512.png s=200 d=73µs s=11284
INF http m=GET p=/icon-192.png s=200 d=22µs s=2745
INF http m=GET p=/favicon.png s=200 d=21µs s=444
INF http m=GET p=/apple-touch-icon.png s=200 d=31µs s=2597
INF http m=GET p=/assets/fr-Cgyc9BlC.js s=200 d=104µs s=16956
INF http m=GET p=/assets/es-BM_5c8P_.js s=200 d=70µs s=16680
INF http m=GET p=/assets/de-OKXjRURK.js s=200 d=124µs s=16708
INF http m=GET p=/assets/WorkspaceSettingsPanel-OEEG3RNx.css s=200 d=57µs s=5319
INF http m=GET p=/assets/WorkspaceSettingsPanel-DzThZ5pC.js s=200 d=91µs s=16953
INF http m=GET p=/assets/Terms-DJXNYmiE.js s=200 d=27µs s=2568
INF http m=GET p=/assets/ServerSettingsPanel-DgJ9GjRy.js s=200 d=72µs s=10745
INF http m=GET p=/assets/ServerSettingsPanel-CwAILPxT.css s=200 d=25µs s=2417
INF http m=GET p=/assets/ProfileSettings-LfhlssOg.css s=200 d=54µs s=6652
INF http m=GET p=/assets/ProfileSettings-C6UtWHaO.js s=200 d=69µs s=14578
INF http m=GET p=/assets/Privacy-COJkLvXG.css s=200 d=19µs s=1034
INF http m=GET p=/assets/Privacy-CLREmNRv.js s=200 d=28µs s=2346
INF http m=GET p=/assets/OrgSettingsPanel-f0NnvF1R.js s=200 d=95µs s=8155
INF http m=GET p=/assets/OrgSettingsPanel-DAbswSRk.css s=200 d=19µs s=1913
INF http m=GET p=/assets/OAuthIcons-BnwC0yRh.js s=200 d=32µs s=2050
INF http m=GET p=/assets/InviteForm-Da2T407Z.js s=200 d=53µs s=3892
INF http m=GET p=/assets/InviteForm-DFlHotPL.css s=200 d=19µs s=1920
INF http m=GET p=/assets/Editor-C3i5BWlf.css s=200 d=76µs s=12701
INF http m=POST p=/api/v1/organizations/KGQPLVQK000/workspaces s=200 d=110ms s=359
INF http m=GET p=/assets/Editor-Booz38UE.js s=200 d=72µs s=46497
INF http m=POST p=/api/v1/workspaces/KGQPJVUQ000/nodes/0/page/create s=200 d=89ms s=21
INF http m=GET p=/assets/Auth-Dk8tjMYf.js s=200 d=46µs s=4144
INF http m=GET p=/assets/Auth-D9cCVgJl.css s=200 d=32µs s=2890
INF http m=GET p=/w/@KGQPJVUQ000+workspace/@KGQPL41U000+welcome s=200 d=18µs s=1227
INF http m=GET p=/assets/AdminDashboard-mz6u66Jn.css s=200 d=37µs s=2245
INF http m=POST p=/api/v1/auth/switch-workspace s=200 d=19.6ms s=1020
INF http m=GET p=/assets/AdminDashboard-C-W2OpZP.js s=200 d=63µs s=7257
INF http m=GET p=/manifest.webmanifest s=200 d=40µs s=455
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=57µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPM4OK000/nodes/0/children s=200 d=1.34ms s=13
INF http m=GET p=/api/v1/auth/me s=200 d=122µs s=820
INF http m=POST p=/api/v1/workspaces/KGQPM4OK000/nodes/0/page/create s=200 d=19.5ms s=21
INF http m=GET p=/api/v1/workspaces/KGQPM4OK000/nodes/0/children s=200 d=173µs s=243
INF http m=GET p=/api/v1/workspaces/KGQPM4OK000/nodes/KGQPN2J4000 s=200 d=129µs s=231
INF http m=GET p=/api/v1/notifications/unread-count s=200 d=87µs s=12
INF http m=GET p=/api/v1/workspaces/KGQPJVUQ000/nodes/0/children s=200 d=206µs s=436
INF http m=GET p=/api/v1/workspaces/KGQPJVUQ000/nodes/KGQPL41U000 s=200 d=267µs s=231
INF http m=GET p=/api/v1/workspaces/KGQPJVUQ000/nodes/KGQPM9NQ000 s=200 d=219µs s=193
INF http m=POST p=/api/v1/workspaces/KGQPM4OK000/nodes/0/page/create s=200 d=18.1ms s=21
