make[1]: Entering directory '/home/runner/work/mddb/mddb'
Created data-e2e/.env from .env.example
INF TEST_OAUTH=1: Using fake Google OAuth credentials
INF TEST_OAUTH=1: Using fake Microsoft OAuth credentials
INF TEST_OAUTH=1: Using fake GitHub OAuth credentials
INF OAuth providers initialized providers="[google microsoft github]"
INF Starting server addr=:8080
INF http m=GET p=/favicon.png s=200 d=20µs s=444 ip=::1
INF http m=POST p=/api/organizations s=200 d=993µs s=428 ip=::1
INF http m=GET p=/sw.js s=200 d=36µs s=2452 ip=::1
INF http m=GET p=/api/auth/me s=200 d=85µs s=438 ip=::1
INF http m=GET p=/registerSW.js s=200 d=29µs s=134 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=62µs s=21874 ip=::1
INF http m=GET p=/index.html s=301 d=11µs ip=::1
INF http m=GET p=/ s=200 d=23µs s=1143 ip=::1
INF http m=GET p=/icon.svg s=200 d=33µs s=294 ip=::1
INF http m=GET p=/icon-512.png s=200 d=89µs s=11284 ip=::1
INF http m=GET p=/registerSW.js s=200 d=15µs s=134 ip=::1
INF http m=GET p=/icon-192.png s=200 d=28µs s=2745 ip=::1
INF http m=GET p=/api/auth/me s=200 d=98µs s=442 ip=::1
INF http m=GET p=/favicon.png s=200 d=25µs s=444 ip=::1
INF http m=POST p=/api/organizations/ED35HUGM000/workspaces s=200 d=33.3ms s=290 ip=::1
INF http m=GET p=/index.html s=301 d=10µs ip=::1
INF http m=GET p=/api/auth/me s=200 d=75µs s=739 ip=::1
INF http m=GET p=/apple-touch-icon.png s=200 d=69µs s=2597 ip=::1
INF http m=GET p=/ s=200 d=16µs s=1143 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/0/children s=200 d=105µs s=13 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=248µs s=1021 ip=::1
INF http m=GET p=/icon.svg s=200 d=31µs s=294 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/0/children s=200 d=110µs s=13 ip=::1
INF http m=GET p=/icon-512.png s=200 d=95µs s=11284 ip=::1
INF http m=GET p=/icon-192.png s=200 d=36µs s=2745 ip=::1
INF http m=POST p=/api/organizations/ED35I44O000/workspaces s=200 d=25.5ms s=292 ip=::1
INF http m=GET p=/api/auth/me s=200 d=77µs s=745 ip=::1
INF http m=GET p=/favicon.png s=200 d=21µs s=444 ip=::1
INF http m=GET p=/assets/index-Blsr748n.js s=200 d=77µs s=35776 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=233µs s=1030 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/0/children s=200 d=366µs s=13 ip=::1
INF http m=GET p=/apple-touch-icon.png s=200 d=30µs s=2597 ip=::1
INF http m=GET p=/assets/index-BIONF7eP.css s=200 d=95µs s=14724 ip=::1
INF http m=POST p=/api/workspaces/ED35I7AE000/nodes/0/page/create s=200 d=20.9ms s=21 ip=::1
INF http m=GET p=/assets/fr-DMiF1Mxf.js s=200 d=72µs s=11731 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/0/children s=200 d=151µs s=243 ip=::1
INF http m=POST p=/api/workspaces/ED35IE62000/nodes/0/page/create s=200 d=17.4ms s=21 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/0/children s=200 d=134µs s=243 ip=::1
INF http m=GET p=/assets/es-K7-K4Bw7.js s=200 d=55µs s=11451 ip=::1
INF http m=GET p=/assets/index-Blsr748n.js s=200 d=112µs s=35776 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/ED35IJKA000 s=200 d=479µs s=231 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35ILQC000 s=200 d=4.43ms s=231 ip=::1
INF http m=GET p=/assets/Editor-B7N0dTt4.js s=200 d=73µs s=21855 ip=::1
INF http m=GET p=/assets/Editor-BLhdKBBR.css s=200 d=141µs s=6925 ip=::1
INF http m=GET p=/assets/editor-vendor-C907dqzP.js s=200 d=251µs s=326117 ip=::1
INF http m=GET p=/assets/Editor-B7N0dTt4.js s=200 d=2.45ms s=21855 ip=::1
INF http m=GET p=/assets/index-BIONF7eP.css s=200 d=68µs s=14724 ip=::1
INF http m=GET p=/assets/Editor-BLhdKBBR.css s=200 d=55µs s=6925 ip=::1
INF http m=GET p=/assets/editor-vendor-C907dqzP.js s=200 d=151µs s=326117 ip=::1
INF http m=GET p=/assets/fr-DMiF1Mxf.js s=200 d=86µs s=11731 ip=::1
INF http m=GET p=/assets/de-D1sDn3Ba.js s=200 d=2.54ms s=11564 ip=::1
INF http m=GET p=/assets/es-K7-K4Bw7.js s=200 d=73µs s=11451 ip=::1
INF http m=GET p=/manifest.webmanifest s=200 d=60µs s=455 ip=::1
INF http m=GET p=/assets/de-D1sDn3Ba.js s=200 d=66µs s=11564 ip=::1
INF http m=POST p=/api/workspaces/ED35I7AE000/nodes/0/page/create s=200 d=38.2ms s=21 ip=::1
INF http m=GET p=/manifest.webmanifest s=200 d=56µs s=455 ip=::1
INF http m=POST p=/api/workspaces/ED35IE62000/nodes/0/page/create s=200 d=21.8ms s=21 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=34µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=101µs s=780 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=31µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=500µs s=786 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35JEP2000 s=200 d=314µs s=158 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/0/children s=200 d=613µs s=401 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/ED35IJKA000 s=200 d=134µs s=231 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/0/children s=200 d=173µs s=390 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=374µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=303µs s=786 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35ILQC000 s=200 d=172µs s=231 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/0/children s=200 d=202µs s=401 ip=::1
INF http m=GET p=/api/workspaces/ED35I7AE000/nodes/ED35J8NQ000 s=200 d=822µs s=147 ip=::1
INF http m=GET p=/sw.js s=200 d=95µs s=2452 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35JEP2000 s=200 d=190µs s=158 ip=::1
INF http m=GET p=/sw.js s=200 d=49µs s=2452 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35JEP2000/page s=200 d=216µs s=124 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35JEP2000/page s=200 d=158µs s=124 ip=::1
INF http m=POST p=/api/auth/register s=200 d=66.9ms s=452 ip=::1
INF http m=GET p=/ s=200 d=47µs s=1143 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=216µs s=103976 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=116µs s=43351 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=137µs s=28228 ip=::1
INF http m=GET p=/registerSW.js s=200 d=29µs s=134 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=36µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=92µs s=187 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=119µs s=10163 ip=::1
INF http m=GET p=/favicon.png s=200 d=34µs s=444 ip=::1
INF http m=POST p=/api/organizations s=200 d=265µs s=420 ip=::1
INF http m=GET p=/sw.js s=200 d=64µs s=2452 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35JEP2000/page s=200 d=138µs s=124 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=85µs s=21874 ip=::1
INF http m=GET p=/registerSW.js s=200 d=21µs s=134 ip=::1
INF http m=GET p=/api/auth/me s=200 d=353µs s=430 ip=::1
INF http m=GET p=/index.html s=301 d=11µs ip=::1
INF http m=GET p=/ s=200 d=15µs s=1143 ip=::1
INF http m=GET p=/icon.svg s=200 d=22µs s=294 ip=::1
INF http m=GET p=/icon-512.png s=200 d=66µs s=11284 ip=::1
INF http m=GET p=/icon-192.png s=200 d=25µs s=2745 ip=::1
INF http m=GET p=/favicon.png s=200 d=17µs s=444 ip=::1
INF http m=GET p=/apple-touch-icon.png s=200 d=27µs s=2597 ip=::1
INF http m=POST p=/api/organizations/ED36BF28000/workspaces s=200 d=19.4ms s=288 ip=::1
INF http m=GET p=/api/auth/me s=200 d=91µs s=729 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/0/children s=200 d=92µs s=13 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=270µs s=1009 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/0/children s=200 d=73µs s=13 ip=::1
INF http m=GET p=/assets/index-Blsr748n.js s=200 d=77µs s=35776 ip=::1
INF http m=GET p=/assets/index-BIONF7eP.css s=200 d=79µs s=14724 ip=::1
INF http m=POST p=/api/workspaces/ED36BKQC000/nodes/0/page/create s=200 d=12.6ms s=21 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/0/children s=200 d=195µs s=243 ip=::1
INF http m=GET p=/assets/fr-DMiF1Mxf.js s=200 d=68µs s=11731 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/ED36BQC8000 s=200 d=117µs s=231 ip=::1
INF http m=GET p=/assets/es-K7-K4Bw7.js s=200 d=52µs s=11451 ip=::1
INF http m=GET p=/assets/Editor-B7N0dTt4.js s=200 d=64µs s=21855 ip=::1
INF http m=GET p=/assets/editor-vendor-C907dqzP.js s=200 d=166µs s=326117 ip=::1
INF http m=GET p=/assets/Editor-BLhdKBBR.css s=200 d=193µs s=6925 ip=::1
INF http m=GET p=/assets/de-D1sDn3Ba.js s=200 d=85µs s=11564 ip=::1
INF http m=GET p=/manifest.webmanifest s=200 d=34µs s=455 ip=::1
INF http m=POST p=/api/workspaces/ED36BKQC000/nodes/0/page/create s=200 d=11.3ms s=21 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=37µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=207µs s=770 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/0/children s=200 d=192µs s=386 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/ED36BQC8000 s=200 d=473µs s=231 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/ED36CA9M000 s=200 d=240µs s=143 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=35µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=101µs s=770 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/ED36CA9M000 s=200 d=214µs s=143 ip=::1
INF http m=GET p=/api/workspaces/ED36BKQC000/nodes/0/children s=200 d=143µs s=386 ip=::1
INF http m=GET p=/api/workspaces/ED35IE62000/nodes/ED35JEP2000/page s=200 d=135µs s=124 ip=::1
INF http m=POST p=/api/auth/register s=200 d=66.9ms s=451 ip=::1
INF http m=GET p=/ s=200 d=36µs s=1143 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=161µs s=103976 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=279µs s=43351 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=90µs s=28228 ip=::1
INF http m=GET p=/registerSW.js s=200 d=23µs s=134 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=39µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=85µs s=187 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=68µs s=10163 ip=::1
INF http m=GET p=/favicon.png s=200 d=38µs s=444 ip=::1
INF http m=POST p=/api/organizations s=200 d=225µs s=418 ip=::1
INF http m=GET p=/sw.js s=200 d=29µs s=2452 ip=::1
INF http m=GET p=/api/auth/me s=200 d=68µs s=429 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=186µs s=21874 ip=::1
INF http m=GET p=/registerSW.js s=200 d=23µs s=134 ip=::1
INF http m=GET p=/index.html s=301 d=15µs ip=::1
INF http m=GET p=/ s=200 d=37µs s=1143 ip=::1
INF http m=GET p=/icon.svg s=200 d=27µs s=294 ip=::1
INF http m=GET p=/icon-512.png s=200 d=118µs s=11284 ip=::1
INF http m=GET p=/icon-192.png s=200 d=29µs s=2745 ip=::1
INF http m=GET p=/favicon.png s=200 d=20µs s=444 ip=::1
INF http m=POST p=/api/organizations/ED36F6GK000/workspaces s=200 d=21.1ms s=287 ip=::1
INF http m=GET p=/api/auth/me s=200 d=102µs s=727 ip=::1
INF http m=GET p=/apple-touch-icon.png s=200 d=26µs s=2597 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/0/children s=200 d=84µs s=13 ip=::1
INF http m=POST p=/api/auth/switch-workspace s=200 d=270µs s=1005 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/0/children s=200 d=112µs s=13 ip=::1
INF http m=GET p=/assets/index-Blsr748n.js s=200 d=486µs s=35776 ip=::1
INF http m=POST p=/api/workspaces/ED36FB86000/nodes/0/page/create s=200 d=12.9ms s=21 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/0/children s=200 d=179µs s=243 ip=::1
INF http m=GET p=/assets/index-BIONF7eP.css s=200 d=74µs s=14724 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/ED36FI58000 s=200 d=125µs s=231 ip=::1
INF http m=GET p=/assets/fr-DMiF1Mxf.js s=200 d=82µs s=11731 ip=::1
INF http m=GET p=/assets/Editor-B7N0dTt4.js s=200 d=64µs s=21855 ip=::1
INF http m=GET p=/assets/editor-vendor-C907dqzP.js s=200 d=228µs s=326117 ip=::1
INF http m=GET p=/assets/Editor-BLhdKBBR.css s=200 d=43µs s=6925 ip=::1
INF http m=GET p=/assets/es-K7-K4Bw7.js s=200 d=55µs s=11451 ip=::1
INF http m=GET p=/assets/de-D1sDn3Ba.js s=200 d=95µs s=11564 ip=::1
INF http m=GET p=/manifest.webmanifest s=200 d=39µs s=455 ip=::1
INF http m=POST p=/api/workspaces/ED36FB86000/nodes/0/page/create s=200 d=10.4ms s=21 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=33µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=99µs s=768 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/0/children s=200 d=222µs s=383 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/ED36FI58000 s=200 d=109µs s=231 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/ED36G196000 s=200 d=196µs s=140 ip=::1
INF http m=GET p=/api/workspaces/ED36FB86000/nodes/ED36G196000/page s=200 d=161µs s=106 ip=::1
INF http m=POST p=/api/auth/register s=200 d=67.5ms s=461 ip=::1
INF http m=GET p=/ s=200 d=43µs s=1143 ip=::1
INF http m=GET p=/assets/index-BTUTm7eZ.js s=200 d=175µs s=103976 ip=::1
INF http m=GET p=/assets/index-DtDhmFFE.css s=200 d=218µs s=43351 ip=::1
INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
INF http m=GET p=/assets/vendor-XI6dBZnE.js s=200 d=1.12ms s=28228 ip=::1
INF http m=GET p=/api/auth/providers s=200 d=39µs s=46 ip=::1
INF http m=GET p=/api/auth/me s=200 d=94µs s=193 ip=::1
INF http m=GET p=/assets/en-CB1z3Rpn.js s=200 d=71µs s=10163 ip=::1
INF http m=POST p=/api/organizations s=200 d=195µs s=424 ip=::1
INF http m=GET p=/favicon.png s=200 d=25µs s=444 ip=::1
INF http m=GET p=/sw.js s=200 d=21µs s=2452 ip=::1
INF http m=GET p=/api/auth/me s=200 d=68µs s=438 ip=::1
INF http m=GET p=/workbox-daba6f28.js s=200 d=113µs s=21874 ip=::1
INF http m=GET p=/registerSW.js s=200 d=26µs s=134 ip=::1
INF http m=GET p=/index.html s=301 d=20µs ip=::1
INF http m=GET p=/ s=200 d=14µs s=1143 ip=::1
INF http m=GET p=/icon.svg s=200 d=21µs s=294 ip=::1
INF http m=GET p=/icon-512.png s=200 d=112µs s=11284 ip=::1
INF http m=GET p=/icon-192.png s=200 d=27µs s=2745 ip=::1
INF http m=POST p=/api/organizations/ED36IH1S000/workspaces s=200 d=22.4ms s=290 ip=::1
